State,FIPS,County,Veteran Population,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients
IA,19175,UNION,1236.84,3715385.85,1580819.65,0,127752.47,0,0,124962.52,1881851.21,284.12
IA,19177,VAN BUREN,651.07,2383326.24,978776.09,0,50359.73,0,0,142505.53,1211684.89,190.08
IA,19179,WAPELLO,3319.82,11863860.26,5144990.95,0,434610.06,0,0,150800.15,6133459.11,831.36
IA,19181,WARREN,3680.63,14484718.45,5834267.49,0,648243.52,0,0,192564.54,7809642.9,987.43
IA,19183,WASHINGTON,1500.37,6123439.75,2058625.83,0,132515.65,0,0,253808.19,3678490.08,507.22
IA,19185,WAYNE,526.11,2366444.68,1026142.33,0,29277.17,0,0,7351.34,1303673.84,173.07
IA,19187,WEBSTER,3053.75,10145671,4531608.38,0,338066.44,0,0,306098.27,4969897.92,1369.59
IA,19189,WINNEBAGO,1053.11,2966589.68,1564599.24,0,70271.29,0,0,45925.04,1285794.1,308.13
IA,19191,WINNESHIEK,1420.74,3494466.47,1795998.94,0,111095.66,0,0,102233.95,1485137.92,348.15
IA,19193,WOODBURY,7594.72,22284085.09,9550631.47,0,1153241.03,0,0,582357.85,10997854.74,2289.99
IA,19195,WORTH,818.04,2502274.6,1050634.7,0,81360.8,0,0,132139.79,1238139.32,260.11
IA,19197,WRIGHT,1038.19,3246729.21,1440616.76,0,65074.21,0,0,118589.01,1622449.23,417.18
KS,20001,ALLEN,1141.49,4092664.27,1720190.25,0,122438.52,0,0,335430.01,1914605.5,303.13
KS,20003,ANDERSON,562.04,2415701.69,1177234.43,0,102835.87,0,0,24283.97,1111347.42,211.09
KS,20005,ATCHISON,1350.5,5089260.5,1609759.73,0,160540.33,0,0,85789.19,3233171.25,359.16
KS,20007,BARBER,387.1,1370236.33,656757.52,0,13878.9,0,0,72251.95,627347.97,116.05
KS,20009,BARTON,2262.58,5444458.89,2555991.98,0,149735.99,0,0,84321.24,2654409.69,703.3
KS,20011,BOURBON,1488.36,4054515.24,1830325.67,101726.25,136061.7,0,0,117638.41,1868763.21,450.19
KS,20013,BROWN,1048.41,2853430.22,1369642.59,0,58383.71,0,0,37716.13,1387687.79,239.1
KS,20015,BUTLER,5726.16,19156850.13,8713016,0,704190.58,0,0,279376.11,9460267.44,1199.52
KS,20017,CHASE,312.11,841501.9,455140.3,0,19969.56,0,0,19840.01,346552.03,75.03
KS,20019,CHAUTAUQUA,399.67,1249090.93,629352.06,0,15391.29,0,0,21224.13,583123.44,95.04
